# generation power_min power_avg power_max util_min util_avg util_max
1 22.464986 26.252715 30.837408 0.319699 0.418885 0.525745
10 20.762175 25.672225 28.870774 0.319590 0.406926 0.477717
20 20.762175 25.243329 27.733749 0.319590 0.398887 0.477717
30 20.762175 24.855308 26.831412 0.315812 0.390920 0.454299
40 20.660776 24.418804 26.535496 0.302378 0.382014 0.445801
50 20.597373 24.005911 26.168599 0.302378 0.374095 0.434978
60 20.353733 23.600358 25.825623 0.302378 0.366535 0.429813
70 20.309482 23.142634 25.595454 0.276136 0.356833 0.422746
80 19.136479 22.676358 25.089253 0.248964 0.347633 0.406138
90 19.136479 22.234061 24.658886 0.248964 0.338394 0.401775
100 19.136479 21.801869 24.166231 0.248964 0.330444 0.395062
110 19.136479 21.403074 23.768953 0.248964 0.322739 0.395062
120 18.731508 21.027925 23.395404 0.248964 0.315301 0.365367
130 18.495378 20.659191 22.650730 0.246888 0.309363 0.359400
140 18.495378 20.341502 22.293766 0.246888 0.303792 0.359400
150 17.871005 20.016477 21.815957 0.235823 0.297505 0.350707
160 17.858608 19.730981 21.260733 0.235823 0.292145 0.324368
170 17.520751 19.474056 20.660776 0.235823 0.286100 0.322911
180 17.520751 19.265555 20.404258 0.235823 0.281811 0.322911
190 17.388894 19.043164 20.233611 0.235823 0.276904 0.320779
200 17.144319 18.787947 20.075461 0.231013 0.271377 0.320779
210 17.096117 18.565897 19.913777 0.231013 0.266242 0.320779
220 16.308033 18.341856 19.604164 0.214073 0.261493 0.311759
230 16.273188 18.162503 19.199800 0.214073 0.257769 0.292520
240 16.273188 17.991547 19.091316 0.214073 0.254787 0.292520
250 16.273188 17.825464 18.742249 0.214073 0.251282 0.284219
260 16.161064 17.618143 18.563778 0.209355 0.248173 0.284219
270 15.418240 17.434203 18.443431 0.208412 0.244446 0.279756
280 15.418240 17.251948 18.205835 0.205445 0.240510 0.279756
290 15.379251 17.097001 18.047692 0.205445 0.237353 0.279756
300 15.379251 16.961254 17.814339 0.205445 0.233972 0.261110
310 15.235343 16.841564 17.607894 0.204521 0.231542 0.258407
320 14.954998 16.686603 17.456859 0.203790 0.229023 0.258407
330 14.954998 16.547512 17.322173 0.200190 0.226222 0.258407
340 14.687640 16.399352 17.247620 0.185471 0.223599 0.252122
350 14.687640 16.217778 17.096117 0.185471 0.220314 0.252122
360 13.276016 16.023470 17.011155 0.167334 0.216826 0.243330
370 13.276016 15.853465 16.824247 0.167334 0.213513 0.239512
380 13.276016 15.647808 16.715139 0.167334 0.209695 0.237506
390 13.276016 15.420372 16.578874 0.167334 0.205627 0.232250
400 13.276016 15.212742 16.273188 0.167334 0.201438 0.232108
410 13.276016 14.996746 16.169960 0.167334 0.197634 0.231488
420 13.276016 14.777582 15.991692 0.161711 0.193398 0.219037
430 13.276016 14.584500 15.590670 0.161711 0.189958 0.217136
440 12.826739 14.397285 15.383497 0.151630 0.186476 0.217136
450 12.729315 14.178074 15.235343 0.149122 0.182076 0.210346
460 12.627759 13.995894 15.038517 0.149122 0.178603 0.210346
470 12.536555 13.803644 14.826563 0.149122 0.174548 0.210346
480 12.536555 13.650126 14.676235 0.149122 0.171839 0.204326
490 12.449420 13.492545 14.467294 0.148248 0.169071 0.198746
500 12.357872 13.338208 14.277461 0.148248 0.166102 0.194213
510 12.311624 13.207834 13.907983 0.148248 0.163763 0.177471
520 12.298718 13.088778 13.760572 0.147786 0.161763 0.176089
530 12.171467 12.979701 13.573184 0.147786 0.159948 0.176089
540 12.126693 12.890620 13.449837 0.147786 0.158555 0.176089
550 12.055948 12.792405 13.307551 0.144939 0.156993 0.168635
560 11.753821 12.693956 13.205995 0.137010 0.155659 0.168635
570 11.753821 12.611186 13.134535 0.137010 0.154596 0.168635
580 11.713756 12.518237 13.052458 0.137010 0.153024 0.167334
590 11.465700 12.425165 12.908943 0.137010 0.151936 0.165586
600 11.465700 12.341058 12.826739 0.137010 0.151089 0.162923
610 11.465700 12.277393 12.729315 0.137010 0.150814 0.161550
620 11.406225 12.192753 12.598334 0.131956 0.149894 0.155800
630 11.406225 12.119012 12.481925 0.131956 0.149452 0.155800
640 11.375572 12.049658 12.417699 0.131956 0.148603 0.155800
650 11.108570 11.966482 12.360226 0.129450 0.147201 0.155800
660 11.108570 11.909488 12.245553 0.129450 0.146658 0.155800
670 11.108570 11.854009 12.210346 0.129450 0.146056 0.155800
680 10.907259 11.779889 12.171467 0.129450 0.144939 0.155800
690 10.907259 11.712155 12.143489 0.129450 0.143382 0.153674
700 10.907259 11.642786 12.082795 0.129450 0.142129 0.153519
710 10.807158 11.555206 12.003332 0.129450 0.140812 0.153519
720 10.807158 11.485745 11.883167 0.129178 0.139445 0.153034
730 10.807158 11.408308 11.775596 0.129178 0.138342 0.153034
