Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.73 .40 1.34 1.32 .06 .37 13.00 18.66 29.33 39.00 
0.1 CO-DMO 2.56 .38 1.13 1.35 .08 .41 10.33 18.33 27.66 43.66 
0.1 Offloading 5.78 .06 3.91 1.78 .08 .43 100.00 0 0 0 
0.1 DVS 3.71 .58 2.32 1.38 0 0 10.66 18.66 28.00 42.66 
0.1 Baseline 7.84 .11 6.09 1.75 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 3.92 .86 2.33 1.39 .18 .41 10.33 14.33 33.33 42.00 
0.2 CO-DMO 3.82 .87 2.31 1.34 .17 .41 12.66 14.66 25.33 47.33 
0.2 Offloading 8.97 .13 7.11 1.67 .18 .42 100.00 0 0 0 
0.2 DVS 7.46 .99 5.66 1.79 0 0 9.00 29.66 37.33 24.00 
0.2 Baseline 13.16 .23 11.64 1.51 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 5.68 .99 3.74 1.61 .32 .45 13.00 23.33 31.33 32.33 
0.3 CO-DMO 5.75 .99 3.77 1.64 .32 .46 14.66 21.66 35.00 28.66 
0.3 Offloading 11.79 .19 9.84 1.61 .34 .47 100.00 0 0 0 
0.3 DVS 12.76 .99 10.51 2.24 0 0 24.66 35.00 33.33 7.00 
0.3 Baseline 18.97 .37 17.72 1.24 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 8.41 .99 5.74 2.21 .44 .47 10.00 32.00 38.00 20.00 
0.4 CO-DMO 9.26 .99 6.04 2.79 .41 .45 14.00 30.33 33.66 22.00 
0.4 Offloading 15.85 .26 13.02 2.43 .38 .46 100.00 0 0 0 
0.4 DVS 19.20 1.00 16.13 3.07 0 0 36.33 41.33 20.66 1.66 
0.4 Baseline 24.60 .50 23.33 1.26 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 12.62 .99 9.53 2.53 .55 .47 26.33 31.66 31.33 10.66 
0.5 CO-DMO 11.78 .99 9.21 2.05 .51 .45 22.00 34.66 30.33 13.00 
0.5 Offloading 18.07 .31 15.32 2.22 .52 .46 100.00 0 0 0 
0.5 DVS 26.71 1.00 23.67 3.03 0 0 57.66 32.00 9.66 .66 
0.5 Baseline 29.64 .60 27.96 1.67 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 18.91 .98 15.62 2.75 .53 .38 44.33 30.00 21.33 4.33 
0.6 CO-DMO 18.01 .99 14.79 2.72 .50 .38 44.00 27.66 25.66 2.66 
0.6 Offloading 21.06 .38 18.52 1.94 .59 .48 100.00 0 0 0 
0.6 DVS 33.06 .99 30.07 2.98 0 0 72.66 21.33 5.66 .33 
0.6 Baseline 35.80 .74 34.39 1.41 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 36.00 .99 32.63 3.22 .15 .10 77.66 17.66 4.33 .33 
0.7 CO-DMO 33.73 .99 30.21 3.28 .23 .12 73.33 17.33 7.33 2.00 
0.7 Offloading 25.37 .46 21.94 2.69 .73 .46 100.00 0 0 0 
0.7 DVS 39.90 1.00 36.65 3.24 0 0 83.00 15.00 2.00 0 
0.7 Baseline 41.36 .86 39.76 1.60 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 46.90 .99 42.98 3.90 .01 0 92.66 7.33 0 0 
0.8 CO-DMO 47.14 .99 43.07 4.05 .02 .01 92.66 7.33 0 0 
0.8 Offloading 28.18 .51 24.59 2.73 .84 .47 100.00 0 0 0 
0.8 DVS 46.27 .99 42.47 3.79 0 0 91.66 8.33 0 0 
0.8 Baseline 47.59 .98 45.47 2.11 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 55.11 .99 48.45 6.65 0 0 100.00 0 0 0 
0.9 CO-DMO 56.11 .99 48.78 7.32 0 0 100.00 0 0 0 
0.9 Offloading 32.20 .59 28.28 2.85 1.05 .47 100.00 0 0 0 
0.9 DVS 55.23 1.00 48.52 6.71 0 0 99.66 .33 0 0 
0.9 Baseline 54.85 .99 48.50 6.34 0 0 100.00 0 0 0 
