Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.16 .17 .53 1.47 .15 .73 13.66 21.00 32.33 33.00 
0.1 CO-DMO 2.17 .16 .47 1.54 .15 .75 17.00 20.66 28.00 34.33 
0.1 Offloading 3.75 .01 1.88 1.69 .18 .83 100.00 0 0 0 
0.1 DVS 3.84 .61 2.13 1.71 0 0 6.66 13.66 35.33 44.33 
0.1 Baseline 7.54 .11 6.18 1.35 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 3.17 .37 .95 1.90 .31 .74 13.00 20.66 33.33 33.00 
0.2 CO-DMO 2.93 .40 .98 1.63 .31 .72 14.00 18.33 29.66 38.00 
0.2 Offloading 4.71 .04 2.83 1.48 .40 .83 100.00 0 0 0 
0.2 DVS 7.11 .99 5.38 1.73 0 0 7.00 25.00 48.00 20.00 
0.2 Baseline 13.34 .24 11.89 1.45 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.16 .44 .99 1.62 .55 .82 12.00 17.66 30.33 40.00 
0.3 CO-DMO 3.20 .44 1.03 1.60 .57 .81 14.66 18.00 35.00 32.33 
0.3 Offloading 5.66 .04 3.18 1.92 .56 .87 100.00 0 0 0 
0.3 DVS 13.05 .99 10.42 2.62 0 0 17.66 43.00 34.00 5.33 
0.3 Baseline 18.95 .37 17.55 1.40 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 3.67 .56 1.18 1.78 .70 .82 16.00 23.33 25.66 35.00 
0.4 CO-DMO 4.02 .51 1.20 2.06 .75 .83 15.33 20.66 31.33 32.66 
0.4 Offloading 7.07 .07 4.21 2.10 .76 .86 100.00 0 0 0 
0.4 DVS 18.97 .99 16.38 2.59 0 0 37.33 41.66 20.00 1.00 
0.4 Baseline 24.62 .50 23.34 1.27 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.14 .85 1.84 2.37 .92 .79 12.00 20.00 28.33 39.66 
0.5 CO-DMO 4.47 .68 1.66 1.92 .88 .83 13.33 23.00 34.33 29.33 
0.5 Offloading 7.76 .08 4.76 1.98 1.00 .87 100.00 0 0 0 
0.5 DVS 26.66 .99 23.50 3.15 0 0 58.00 30.00 11.66 .33 
0.5 Baseline 30.51 .62 28.84 1.67 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 5.45 .75 1.95 2.19 1.30 .84 12.66 24.66 30.66 32.00 
0.6 CO-DMO 5.66 .65 1.98 2.49 1.18 .84 15.66 20.66 32.00 31.66 
0.6 Offloading 9.66 .11 6.17 2.19 1.29 .85 100.00 0 0 0 
0.6 DVS 32.60 1.00 29.39 3.20 0 0 69.66 23.33 6.66 .33 
0.6 Baseline 35.38 .73 33.91 1.46 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 5.68 .80 2.44 1.90 1.33 .84 17.00 24.33 32.00 26.66 
0.7 CO-DMO 6.09 .86 2.44 2.34 1.31 .82 16.66 23.33 33.66 26.33 
0.7 Offloading 8.98 .09 5.25 2.22 1.50 .90 100.00 0 0 0 
0.7 DVS 41.05 .99 36.99 4.05 0 0 82.66 16.00 1.33 0 
0.7 Baseline 42.47 .88 40.77 1.70 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 8.09 .83 3.90 2.61 1.56 .83 20.66 32.33 24.66 22.33 
0.8 CO-DMO 7.40 .82 2.81 2.80 1.78 .85 19.00 28.00 26.00 27.00 
0.8 Offloading 11.28 .13 7.12 2.46 1.68 .86 100.00 0 0 0 
0.8 DVS 47.11 .99 42.59 4.52 0 0 91.00 9.00 0 0 
0.8 Baseline 46.64 .98 45.01 1.63 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 13.15 .95 8.60 2.96 1.58 .74 40.00 23.66 21.33 15.00 
0.9 CO-DMO 15.29 .97 10.76 3.04 1.47 .68 32.66 28.00 24.00 15.33 
0.9 Offloading 12.63 .14 7.63 3.21 1.78 .88 100.00 0 0 0 
0.9 DVS 55.04 .99 48.48 6.55 0 0 100.00 0 0 0 
0.9 Baseline 53.64 .99 48.14 5.50 0 0 100.00 0 0 0 
